frn_adminid,Travel,Exercise,Beilber,Confidence,Spiritual,Extroverted,DogPerson,Drinker,Sleeper,SamHater,tshirt,tenure,average_bustle,Gender,Team
241,Neither,Neither,No,Yes,No,No,Yes,Yes,Yes,No,Medium,6-12,150 - 300,Male,Engineering
144,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Xsmall,12-24,75 - 150,Female,Marketing
46,Yes,No,No,Yes,No,Neither,Yes,No,No,Yes,Xxlarge,24-48,300 - 450,Male,Engineering
162,Neither,No,No,Yes,No,Neither,No,Yes,No,Yes,XLarge,12-24,<75,Male,Marketing
209,Neither,Neither,Neither,Yes,No,Neither,Yes,Neither,No,No,XLarge,6-12,75 - 150,Male,Operations
258,No,Yes,Neither,Neither,Neither,No,Neither,No,Yes,Yes,Medium,3-6,300 - 450,Male,Engineering
5,Yes,No,No,Yes,Neither,Neither,Neither,Yes,No,No,XLarge,48+,150 - 300,Female,Operations
59,No,No,No,Yes,No,No,No,Yes,No,No,Small,24-48,75 - 150,Female,Operations
245,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Medium,3-6,300 - 450,Male,Engineering
161,No,Neither,Neither,Yes,Yes,No,No,No,Yes,No,Medium,12-24,150 - 300,Female,Accounts
87,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Medium,24-48,150 - 300,Male,Engineering
105,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Large,12-24,150 - 300,Male,Product
296,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Medium,3-6,<75,Male,Operations
58,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Large,24-48,450 - 600,Male,Engineering
146,Yes,No,No,Neither,No,No,Neither,No,No,Yes,Large,12-24,600+,Male,Operations
219,No,Neither,No,Yes,Yes,Neither,Neither,No,No,No,Small,6-12,150 - 300,Male,Engineering
299,Neither,No,No,Yes,Neither,No,No,No,No,No,Small,3-6,150 - 300,Male,Engineering
282,Yes,No,No,Yes,Yes,Yes,Yes,No,Neither,Yes,Medium,3-6,75 - 150,Female,Accounts
223,Yes,Neither,No,Yes,No,Yes,Yes,Neither,Yes,Yes,Large,6-12,300 - 450,Male,Biz Dev
211,Yes,Neither,No,Yes,Yes,Yes,Yes,Neither,Neither,No,Medium,6-12,75 - 150,Female,Marketing
210,Yes,No,No,Yes,Neither,No,Yes,Yes,Yes,No,Large,6-12,75 - 150,Male,Accounts
320,No,Yes,Yes,Yes,No,Neither,Yes,Yes,Yes,No,Medium,<3,<75,Male,Engineering
222,No,Yes,No,Yes,No,No,No,No,No,Yes,Small,6-12,300 - 450,Male,Engineering
233,No,Yes,No,No,Neither,No,No,No,No,Yes,Small,6-12,75 - 150,Female,Marketing
109,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,XLarge,12-24,75 - 150,Male,Marketing
4,No,Yes,No,Yes,Yes,Neither,Yes,No,No,Yes,Large,48+,<75,Male,Operations
284,Yes,Neither,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Small,3-6,75 - 150,Female,Accounts
117,Yes,Yes,No,Yes,Neither,Yes,Yes,Yes,Yes,Neither,Medium,12-24,75 - 150,Female,Accounts
57,Yes,Yes,No,Yes,Yes,Neither,Yes,Yes,No,Yes,XLarge,24-48,300 - 450,Male,Biz Dev
32,Yes,Neither,No,Yes,Neither,Yes,Yes,Yes,Yes,Yes,XLarge,48+,600+,Female,Engineering
301,Neither,Neither,No,Yes,Neither,Neither,Yes,Yes,Neither,Yes,Medium,3-6,150 - 300,Female,Marketing
215,No,Yes,No,Neither,Yes,No,Yes,No,No,No,Large,6-12,150 - 300,Male,Engineering
206,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Small,6-12,300 - 450,Male,Engineering
261,No,No,No,No,No,No,No,No,No,Yes,Large,3-6,150 - 300,Male,Engineering
199,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Medium,12-24,<75,Male,Biz Dev
107,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Medium,12-24,300 - 450,Male,Engineering
195,Yes,Neither,No,Yes,Neither,Yes,Yes,Yes,No,Yes,Medium,12-24,150 - 300,Female,Accounts
281,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,XLarge,3-6,75 - 150,Male,Accounts
